pokedex_number,name,classfication,type1,type2,generation,is_legendary,ability 1,ability 2,ability 3,ability 4,ability 5,ability 6,height_m,weight_kg,capture_rate,percentage_male,experience_growth,attack,defense,speed,hp,sp_attack,sp_defense,base_egg_steps,base_happiness,base_total,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
11,Metapod,Cocoon Pokemon,bug,,1,0,Shed Skin,,,,,,0.7,9.9,120,50,1000000,20,55,30,50,25,25,3840,70,205,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
12,Butterfree,Butterfly Pokemon,bug,flying,1,0,Compoundeyes,Tinted Lens,,,,,1.1,32,45,50,1000000,45,50,70,60,90,80,3840,70,395,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
13,Weedle,Hairy Pokemon,bug,poison,1,0,Shield Dust,Run Away,,,,,0.3,3.2,255,50,1000000,35,30,50,40,20,20,3840,70,195,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
14,Kakuna,Cocoon Pokemon,bug,poison,1,0,Shed Skin,,,,,,0.6,10,120,50,1000000,25,50,35,45,25,25,3840,70,205,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
15,Beedrill,Poison Bee Pokemon,bug,poison,1,0,Swarm,Sniper,,,,,1,29.5,45,50,1000000,150,40,145,65,15,80,3840,70,495,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
16,Pidgey,Tiny Bird Pokemon,normal,flying,1,0,Keen Eye,Tangled Feet,Big Pecks,,,,0.3,1.8,255,50,1059860,45,40,56,40,35,35,3840,70,251,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
17,Pidgeotto,Bird Pokemon,normal,flying,1,0,Keen Eye,Tangled Feet,Big Pecks,,,,1.1,30,120,50,1059860,60,55,71,63,50,50,3840,70,349,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
18,Pidgeot,Bird Pokemon,normal,flying,1,0,Keen Eye,Tangled Feet,Big Pecks,,,,1.5,39.5,45,50,1059860,80,80,121,83,135,80,3840,70,579,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
19,Rattata,Mouse Pokemon,normal,dark,1,0,Run Away,Guts,Hustle,Gluttony,Hustle,Thick Fat,,,255,50,1000000,56,35,72,30,25,35,3840,70,253,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
20,Raticate,Mouse Pokemon,normal,dark,1,0,Run Away,Guts,Hustle,Gluttony,Hustle,Thick Fat,,,127,50,1000000,71,70,77,75,40,80,3840,70,413,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
21,Spearow,Tiny Bird Pokemon,normal,flying,1,0,Keen Eye,Sniper,,,,,0.3,2,255,50,1000000,60,30,70,40,31,31,3840,70,262,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
22,Fearow,Beak Pokemon,normal,flying,1,0,Keen Eye,Sniper,,,,,1.2,38,90,50,1000000,90,65,100,65,61,61,3840,70,442,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
23,Ekans,Snake Pokemon,poison,,1,0,Intimidate,Shed Skin,Unnerve,,,,2,6.9,255,50,1000000,60,44,55,35,40,54,5120,70,288,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
24,Arbok,Cobra Pokemon,poison,,1,0,Intimidate,Shed Skin,Unnerve,,,,3.5,65,90,50,1000000,95,69,80,60,65,79,5120,70,448,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
25,Pikachu,Mouse Pokemon,electric,,1,0,Static,Lightningrod,,,,,0.4,6,190,50,1000000,55,40,90,35,50,50,2560,70,320,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
26,Raichu,Mouse Pokemon,electric,electric,1,0,Static,Lightningrod,Surge Surfer,,,,,,75,50,1000000,85,50,110,60,95,85,2560,70,485,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
27,Sandshrew,Mouse Pokemon,ground,ice,1,0,Sand Veil,Sand Rush,Snow Cloak,Slush Rush,,,,,255,50,1000000,75,90,40,50,10,35,5120,70,300,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
28,Sandslash,Mouse Pokemon,ground,ice,1,0,Sand Veil,Sand Rush,Snow Cloak,Slush Rush,,,,,90,50,1000000,100,120,65,75,25,65,5120,70,450,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
29,Nidoran♀,Poison Pin Pokemon,poison,,1,0,Poison Point,Rivalry,Hustle,,,,0.4,7,235,0,1059860,47,52,41,55,40,40,5120,70,275,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
30,Nidorina,Poison Pin Pokemon,poison,,1,0,Poison Point,Rivalry,Hustle,,,,0.8,20,120,0,1059860,62,67,56,70,55,55,5120,70,365,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
31,Nidoqueen,Drill Pokemon,poison,ground,1,0,Poison Point,Rivalry,Sheer Force,,,,1.3,60,45,0,1059860,92,87,76,90,75,85,5120,70,505,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2
32,Nidoran♂,Poison Pin Pokemon,poison,,1,0,Poison Point,Rivalry,Hustle,,,,0.5,9,235,100,1059860,57,40,50,46,40,40,5120,70,273,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
33,Nidorino,Poison Pin Pokemon,poison,,1,0,Poison Point,Rivalry,Hustle,,,,0.9,19.5,120,100,1059860,72,57,65,61,55,55,5120,70,365,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
34,Nidoking,Drill Pokemon,poison,ground,1,0,Poison Point,Rivalry,Sheer Force,,,,1.4,62,45,100,1059860,102,77,85,81,85,75,5120,70,505,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2
35,Clefairy,Fairy Pokemon,fairy,,1,0,Cute Charm,Magic Guard,Friend Guard,,,,0.6,7.5,150,24.6,800000,45,48,35,70,60,65,2560,140,323,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
36,Clefable,Fairy Pokemon,fairy,,1,0,Cute Charm,Magic Guard,Unaware,,,,1.3,40,25,24.6,800000,70,73,60,95,95,90,2560,140,483,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
37,Vulpix,Fox Pokemon,fire,ice,1,0,Flash Fire,Drought,Snow Cloak,Snow Warning,,,,,190,24.6,1000000,41,40,65,38,50,65,5120,70,299,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
38,Ninetales,Fox Pokemon,fire,ice,1,0,Flash Fire,Drought,Snow Cloak,Snow Warning,,,,,75,24.6,1000000,67,75,109,73,81,100,5120,70,505,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
39,Jigglypuff,Balloon Pokemon,normal,fairy,1,0,Cute Charm,Competitive,Friend Guard,,,,0.5,5.5,170,24.6,800000,45,20,20,115,45,25,2560,70,270,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
40,Wigglytuff,Balloon Pokemon,normal,fairy,1,0,Cute Charm,Competitive,Frisk,,,,1,12,50,24.6,800000,70,45,45,140,85,50,2560,70,435,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
41,Zubat,Bat Pokemon,poison,flying,1,0,Inner Focus,Infiltrator,,,,,0.8,7.5,255,50,1000000,45,35,55,40,30,40,3840,70,245,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
42,Golbat,Bat Pokemon,poison,flying,1,0,Inner Focus,Infiltrator,,,,,1.6,55,90,50,1000000,80,70,90,75,65,75,3840,70,455,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
43,Oddish,Weed Pokemon,grass,poison,1,0,Chlorophyll,Run Away,,,,,0.5,5.4,255,50,1059860,50,55,30,45,75,65,5120,70,320,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
44,Gloom,Weed Pokemon,grass,poison,1,0,Chlorophyll,Stench,,,,,0.8,8.6,120,50,1059860,65,70,40,60,85,75,5120,70,395,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
45,Vileplume,Flower Pokemon,grass,poison,1,0,Chlorophyll,Effect Spore,,,,,1.2,18.6,45,50,1059860,80,85,50,75,110,90,5120,70,490,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
46,Paras,Mushroom Pokemon,bug,grass,1,0,Effect Spore,Dry Skin,Damp,,,,0.3,5.4,190,50,1000000,70,55,25,35,45,55,5120,70,285,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
47,Parasect,Mushroom Pokemon,bug,grass,1,0,Effect Spore,Dry Skin,Damp,,,,1,29.5,75,50,1000000,95,80,30,60,60,80,5120,70,405,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
48,Venonat,Insect Pokemon,bug,poison,1,0,Compoundeyes,Tinted Lens,Run Away,,,,1,30,190,50,1000000,55,50,45,60,40,55,5120,70,305,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
49,Venomoth,Poison Moth Pokemon,bug,poison,1,0,Shield Dust,Tinted Lens,Wonder Skin ,,,,1.5,12.5,75,50,1000000,65,60,90,70,90,75,5120,70,450,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
50,Diglett,Mole Pokemon,ground,ground,1,0,Sand Veil,Arena Trap,Sand Force,Sand Veil,Tangling Hair,Sand Force,,,255,50,1000000,55,30,90,10,35,45,5120,70,265,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
51,Dugtrio,Mole Pokemon,ground,ground,1,0,Sand Veil,Arena Trap,Sand Force,Sand Veil,Tangling Hair,Sand Force,,,50,50,1000000,100,60,110,35,50,70,5120,70,425,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
52,Meowth,Scratch Cat Pokemon,normal,dark,1,0,Pickup,Technician,Unnerve,Pickup,Technician,Rattled,,,255,50,1000000,35,35,90,40,50,40,5120,70,290,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
53,Persian,Classy Cat Pokemon,normal,dark,1,0,Limber,Technician,Unnerve,Fur Coat,Technician,Rattled,,,90,50,1000000,60,60,115,65,75,65,5120,70,440,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
54,Psyduck,Duck Pokemon,water,,1,0,Damp,Cloud Nine,Swift Swim,,,,0.8,19.6,190,50,1000000,52,48,55,50,65,50,5120,70,320,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
55,Golduck,Duck Pokemon,water,,1,0,Damp,Cloud Nine,Swift Swim,,,,1.7,76.6,75,50,1000000,82,78,85,80,95,80,5120,70,500,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
56,Mankey,Pig Monkey Pokemon,fighting,,1,0,Vital Spirit,Anger Point,Defiant,,,,0.5,28,190,50,1000000,80,35,70,40,35,45,5120,70,305,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
57,Primeape,Pig Monkey Pokemon,fighting,,1,0,Vital Spirit,Anger Point,Defiant,,,,1,32,75,50,1000000,105,60,95,65,60,70,5120,70,455,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
58,Growlithe,Puppy Pokemon,fire,,1,0,Intimidate,Flash Fire,Justified,,,,0.7,19,190,75.4,1250000,70,45,60,55,70,50,5120,70,350,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
59,Arcanine,Legendary Pokemon,fire,,1,0,Intimidate,Flash Fire,Justified,,,,1.9,155,75,75.4,1250000,110,80,95,90,100,80,5120,70,555,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
60,Poliwag,Tadpole Pokemon,water,,1,0,Water Absorb,Damp,Swift Swim,,,,0.6,12.4,255,50,1059860,50,40,90,40,40,40,5120,70,300,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
61,Poliwhirl,Tadpole Pokemon,water,,1,0,Water Absorb,Damp,Swift Swim,,,,1,20,120,50,1059860,65,65,90,65,50,50,5120,70,385,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
62,Poliwrath,Tadpole Pokemon,water,fighting,1,0,Water Absorb,Damp,Swift Swim,,,,1.3,54,45,50,1059860,95,95,70,90,70,90,5120,70,510,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5
63,Abra,Psi Pokemon,psychic,,1,0,Synchronize,Inner Focus,Magic Guard,,,,0.9,19.5,200,75.4,1059860,20,15,90,25,105,55,5120,70,310,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
64,Kadabra,Psi Pokemon,psychic,,1,0,Synchronize,Inner Focus,Magic Guard,,,,1.3,56.5,100,75.4,1059860,35,30,105,40,120,70,5120,70,400,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
65,Alakazam,Psi Pokemon,psychic,,1,0,Synchronize,Inner Focus,Magic Guard,,,,1.5,48,50,75.4,1059860,50,65,150,55,175,105,5120,70,600,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
66,Machop,Superpower Pokemon,fighting,,1,0,Guts,No Guard,Steadfast,,,,0.8,19.5,180,75.4,1059860,80,50,35,70,35,35,5120,70,305,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
67,Machoke,Superpower Pokemon,fighting,,1,0,Guts,No Guard,Steadfast,,,,1.5,70.5,90,75.4,1059860,100,70,45,80,50,60,5120,70,405,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
68,Machamp,Superpower Pokemon,fighting,,1,0,Guts,No Guard,Steadfast,,,,1.6,130,45,75.4,1059860,130,80,55,90,65,85,5120,70,505,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
69,Bellsprout,Flower Pokemon,grass,poison,1,0,Chlorophyll,Gluttony,,,,,0.7,4,255,50,1059860,75,35,40,50,70,30,5120,70,300,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
70,Weepinbell,Flycatcher Pokemon,grass,poison,1,0,Chlorophyll,Gluttony,,,,,1,6.4,120,50,1059860,90,50,55,65,85,45,5120,70,390,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
71,Victreebel,Flycatcher Pokemon,grass,poison,1,0,Chlorophyll,Gluttony,,,,,1.7,15.5,45,50,1059860,105,65,70,80,100,70,5120,70,490,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
72,Tentacool,Jellyfish Pokemon,water,poison,1,0,Clear Body,Liquid Ooze,Rain Dish,,,,0.9,45.5,190,50,1250000,40,35,70,40,50,100,5120,70,335,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
73,Tentacruel,Jellyfish Pokemon,water,poison,1,0,Clear Body,Liquid Ooze,Rain Dish,,,,1.6,55,60,50,1250000,70,65,100,80,80,120,5120,70,515,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
74,Geodude,Rock Pokemon,rock,ground,1,0,Rock Head,Sturdy,Sand Veil,Magnet Pull,Sturdy,Galvanize,,,255,50,1059860,80,100,20,40,30,30,3840,70,300,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
75,Graveler,Rock Pokemon,rock,ground,1,0,Rock Head,Sturdy,Sand Veil,Magnet Pull,Sturdy,Galvanize,,,120,50,1059860,95,115,35,55,45,45,3840,70,390,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
76,Golem,Megaton Pokemon,rock,ground,1,0,Rock Head,Sturdy,Sand Veil,Magnet Pull,Sturdy,Galvanize,,,45,50,1059860,120,130,45,80,55,65,3840,70,495,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
77,Ponyta,Fire Horse Pokemon,fire,,1,0,Run Away,Flash Fire,Flame Body,,,,1,30,190,50,1000000,85,55,90,50,65,65,5120,70,410,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
78,Rapidash,Fire Horse Pokemon,fire,,1,0,Run Away,Flash Fire,Flame Body,,,,1.7,95,60,50,1000000,100,70,105,65,80,80,5120,70,500,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
79,Slowpoke,Dopey Pokemon,water,psychic,1,0,Oblivious,Own Tempo,Regenerator,,,,1.2,36,190,50,1000000,65,65,15,90,40,40,5120,70,315,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
80,Slowbro,Hermit Crab Pokemon,water,psychic,1,0,Oblivious,Own Tempo,Regenerator,,,,1.6,78.5,75,50,1000000,75,180,30,95,130,80,5120,70,590,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
81,Magnemite,Magnet Pokemon,electric,steel,1,0,Magnet Pull,Sturdy,Analytic,,,,0.3,6,190,,1000000,35,70,45,25,95,55,5120,70,325,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1
82,Magneton,Magnet Pokemon,electric,steel,1,0,Magnet Pull,Sturdy,Analytic,,,,1,60,60,,1000000,60,95,70,50,120,70,5120,70,465,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1
83,Farfetch'd,Wild Duck Pokemon,normal,flying,1,0,Keen Eye,Inner Focus,Defiant,,,,0.8,15,45,50,1000000,90,55,60,52,58,62,5120,70,377,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
84,Doduo,Twin Bird Pokemon,normal,flying,1,0,Run Away,Early Bird,Tangled Feet,,,,1.4,39.2,190,50,1000000,85,45,75,35,35,35,5120,70,310,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
85,Dodrio,Triple Bird Pokemon,normal,flying,1,0,Run Away,Early Bird,Tangled Feet,,,,1.8,85.2,45,50,1000000,110,70,110,60,60,60,5120,70,470,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
86,Seel,Sea Lion Pokemon,water,,1,0,Thick Fat,Hydration,Ice Body,,,,1.1,90,190,50,1000000,45,55,45,65,45,70,5120,70,325,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
87,Dewgong,Sea Lion Pokemon,water,ice,1,0,Thick Fat,Hydration,Ice Body,,,,1.7,120,75,50,1000000,70,80,70,90,70,95,5120,70,475,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
88,Grimer,Sludge Pokemon,poison,poison,1,0,Stench,Sticky Hold,Poison Touch,Poison Touch,Gluttony,Power of Alchemy,,,190,50,1000000,80,50,25,80,40,50,5120,70,325,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
89,Muk,Sludge Pokemon,poison,poison,1,0,Stench,Sticky Hold,Poison Touch,Poison Touch,Gluttony,Power of Alchemy,,,75,50,1000000,105,75,50,105,65,100,5120,70,500,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
90,Shellder,Bivalve Pokemon,water,,1,0,Shell Armor,Skill Link,Overcoat,,,,0.3,4,190,50,1250000,65,100,40,30,45,25,5120,70,305,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
91,Cloyster,Bivalve Pokemon,water,ice,1,0,Shell Armor,Skill Link,Overcoat,,,,1.5,132.5,60,50,1250000,95,180,70,50,85,45,5120,70,525,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
92,Gastly,Gas Pokemon,ghost,poison,1,0,Levitate,,,,,,1.3,0.1,190,50,1059860,35,30,80,30,100,35,5120,70,310,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
93,Haunter,Gas Pokemon,ghost,poison,1,0,Levitate,,,,,,1.6,0.1,90,50,1059860,50,45,95,45,115,55,5120,70,405,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
94,Gengar,Shadow Pokemon,ghost,poison,1,0,Cursed Body,,,,,,1.5,40.5,45,50,1059860,65,80,130,60,170,95,5120,70,600,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
95,Onix,Rock Snake Pokemon,rock,ground,1,0,Rock Head,Sturdy,Weak Armor,,,,8.8,210,45,50,1000000,45,160,70,35,30,45,6400,70,385,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
96,Drowzee,Hypnosis Pokemon,psychic,,1,0,Insomnia,Forewarn,Inner Focus,,,,1,32.4,190,50,1000000,48,45,42,60,43,90,5120,70,328,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
97,Hypno,Hypnosis Pokemon,psychic,,1,0,Insomnia,Forewarn,Inner Focus,,,,1.6,75.6,75,50,1000000,73,70,67,85,73,115,5120,70,483,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
98,Krabby,River Crab Pokemon,water,,1,0,Hyper Cutter,Shell Armor,Sheer Force,,,,0.4,6.5,225,50,1000000,105,90,50,30,25,25,5120,70,325,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
99,Kingler,Pincer Pokemon,water,,1,0,Hyper Cutter,Shell Armor,Sheer Force,,,,1.3,60,60,50,1000000,130,115,75,55,50,50,5120,70,475,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
100,Voltorb,Ball Pokemon,electric,,1,0,Soundproof,Static,Aftermath,,,,0.5,10.4,190,,1000000,30,50,100,40,55,55,5120,70,330,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
101,Electrode,Ball Pokemon,electric,,1,0,Soundproof,Static,Aftermath,,,,1.2,66.6,60,,1000000,50,70,150,60,80,80,5120,70,490,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
102,Exeggcute,Egg Pokemon,grass,psychic,1,0,Chlorophyll,Harvest,,,,,0.4,2.5,90,50,1250000,40,80,40,60,60,45,5120,70,325,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
103,Exeggutor,Coconut Pokemon,grass,psychic,1,0,Chlorophyll,Harvest,Frisk,Harvest,,,,,45,50,1250000,105,85,45,95,125,75,5120,70,530,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
104,Cubone,Lonely Pokemon,ground,,1,0,Rock Head,Lightningrod,Battle Armor,,,,0.4,6.5,190,50,1000000,50,95,35,50,40,50,5120,70,320,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
105,Marowak,Bone Keeper Pokemon,ground,fire,1,0,Rock Head,Lightningrod,Battle Armor,Cursed Body,Lightningrod,Rock Head,,,75,50,1000000,80,110,45,60,50,80,5120,70,425,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
106,Hitmonlee,Kicking Pokemon,fighting,,1,0,Limber,Reckless,Unburden,,,,1.5,49.8,45,100,1000000,120,53,87,50,35,110,6400,70,455,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
